Number	Reaction Type  	Stoichiometry                           	Reaction orders                         	k-forward       	                                  	k-backward	     
     1	Arrhenius      	CO2 + * <-> CO2*                        	[CO2][*] <-> [CO2*]                     	8.2780000000e+03	* exp(-0.0000000000e+00/(R*T))    	1.0040000000e+10	* exp(-1.3798000000e+04/(R*T))    
     2	Arrhenius      	H2 + 2 * <-> 2 H*                       	[H2][*]^2 <-> [H*]^2                    	3.3930000000e+03	* exp(-2.5279000000e+04/(R*T))    	3.1160000000e+09	* exp(-5.7312000000e+04/(R*T))    
     3	Arrhenius      	H2O + * <-> H2O*                        	[H2O][*] <-> [H2O*]                     	1.2940000000e+08	* exp(-0.0000000000e+00/(R*T))    	2.7780000000e+14	* exp(-1.8815000000e+04/(R*T))    
     4	Arrhenius      	CO2* + * <-> CO* + O*                   	[CO2*][*] <-> [CO*][O*]                 	2.0270000000e+11	* exp(-8.2497000000e+04/(R*T))    	2.5170000000e+13	* exp(-1.3720500000e+05/(R*T))    
     5	Arrhenius      	CO2* + H* <-> HCOO* + *                 	[CO2*][H*] <-> [HCOO*][*]               	7.2830000000e+11	* exp(-1.0169800000e+05/(R*T))    	5.2430000000e+13	* exp(-9.7549000000e+04/(R*T))    
     6	Arrhenius      	CO2* + H* <-> COOH* + *                 	[CO2*][H*] <-> [COOH*][*]               	5.3320000000e+11	* exp(-1.2842400000e+05/(R*T))    	2.5250000000e+13	* exp(-7.7190000000e+04/(R*T))    
     7	Arrhenius      	CO2* + OH* <-> COOH* + O*               	[CO2*][OH*] <-> [COOH*][O*]             	4.2820000000e+10	* exp(-5.3647000000e+04/(R*T))    	7.2870000000e+12	* exp(-1.8526000000e+04/(R*T))    
     8	Arrhenius      	CO2* + H2O* <-> COOH* + OH*             	[CO2*][H2O*] <-> [COOH*][OH*]           	1.3500000000e+10	* exp(-3.4060000000e+04/(R*T))    	4.2690000000e+12	* exp(-2.5090000000e+03/(R*T))    
     9	Arrhenius      	CO2* + OH* <-> HCOO* + O*               	[CO2*][OH*] <-> [HCOO*][O*]             	4.1720000000e+11	* exp(-1.7184400000e+05/(R*T))    	9.9550000000e+13	* exp(-1.7232600000e+05/(R*T))    
    10	Arrhenius      	CO2* + H2O* <-> HCOO* + OH*             	[CO2*][H2O*] <-> [HCOO*][OH*]           	4.5170000000e+11	* exp(-1.7010700000e+05/(R*T))    	5.7220000000e+13	* exp(-1.8834300000e+05/(R*T))    
    11	Arrhenius      	COOH* + * <-> CO* + OH*                 	[COOH*][*] <-> [CO*][OH*]               	2.7520000000e+13	* exp(-4.7761000000e+04/(R*T))    	4.5230000000e+13	* exp(-1.4579200000e+05/(R*T))    
    12	Arrhenius      	COOH* + * <-> COH* + O*                 	[COOH*][*] <-> [COH*][O*]               	3.9750000000e+12	* exp(-1.2369700000e+05/(R*T))    	1.9360000000e+13	* exp(-1.1684600000e+05/(R*T))    
    13	Arrhenius      	HCOO* + * <-> O* + HCO*                 	[HCOO*][*] <-> [O*][HCO*]               	4.1190000000e+12	* exp(-1.3421400000e+05/(R*T))    	7.5340000000e+12	* exp(-7.4874000000e+04/(R*T))    
    14	Arrhenius      	CO* + * <-> C* + O*                     	[CO*][*] <-> [C*][O*]                   	1.8470000000e+12	* exp(-2.8791800000e+05/(R*T))    	1.6460000000e+13	* exp(-1.1067100000e+05/(R*T))    
    15	Arrhenius      	HCO* + * <-> CO* + H*                   	[HCO*][*] <-> [CO*][H*]                 	2.4970000000e+13	* exp(-2.0455000000e+04/(R*T))    	2.2000000000e+13	* exp(-1.3691500000e+05/(R*T))    
    16	Arrhenius      	HCO* + * <-> CH* + O*                   	[HCO*][*] <-> [CH*][O*]                 	9.0250000000e+12	* exp(-1.0594300000e+05/(R*T))    	3.0830000000e+13	* exp(-1.1308300000e+05/(R*T))    
